time,author,messsage
-0:34:00,Your Average Film,Good Morning from Porto Alegre BRASIL!
-0:34:00,Andy Manners,hi from Chichester
-0:32:00,Harris Chalk,Hello from sunny scotland
-0:32:00,Chris Lettig,egg cited!
-0:32:00,Kevin Derby,Hello from NC!!
-0:31:00,slytown,Hello Michiganders!
-0:29:00,Kai-Chiun Weng,Hello from Yemen
-0:28:00,peekaboodudeful,Pdg reporting in!!!
-0:27:00,Olivia Heidi,hello
-0:27:00,Ana Batel,hi!
-0:26:00,tommihommi1,"forgot to buy distilled water and it's national holiday here, good thing the Tap Water in Augschburg is amazing"
-0:26:00,A A,Hi from Prague :slightly_smiling_face:
-0:26:00,Ollie,Hello!
-0:25:00,David Woof,2 teas please.
-0:24:00,Daniel Hellrung,Hello from Texas!
-0:24:00,Effie,london sucks so bad latley! coffee scene is ruined
-0:23:00,Daenara M,Hi from Sydney
-0:21:00,Lukas,hi from stuttgart :^)
-0:20:00,Nlptrckshmn,Hello from Aberdeen (Scotland) folks!
-0:20:00,Daenara M,:slightly_smiling_face:
-0:18:00,Peter Kuiters,"If you have a hand grinder, I suggest you pre-grind. Last time it was a race against James' EK grinder"
-0:18:00,Michael Gute,Will donate $$$ for SLURPS
-0:17:00,Jonathan Rees,Hello from Hersham!
-0:17:00,Jonathan Pelletier,Coffeeeeeeeeeee
-0:16:00,turtletron,did not receive coffee in California. #bummer
-0:16:00,marnix198,hello from amsterdam :slightly_smiling_face:
-0:15:00,KiliK,Hi from Germany
-0:15:00,Phil Middleton,Hello from sunny Manchester!
-0:14:00,A A,I am Jiri :slightly_smiling_face: hi
-0:12:00,IronicTager,"no, youtube takes a cut of donations in the YT chat"
-0:12:00,Lorraine Bauer,hi from boston
-0:12:00,John Erwin Veneracion,60 second countdownnnn
-0:10:00,Misayre,Greetings from Berlin
-0:09:00,MackerelCat,"People from all over the world, thats great"
-0:08:00,Ron Dorazio,Live from Boston (bean town)
-0:08:00,Mark Roberts,Good morning from Bedford Texas!
-0:07:00,Seccound,hey there from germany!
-0:05:00,DancingSpacePotato,"Donated! I would like one slurp, please sir"
-0:04:00,mccrispy,ONE MINUTE... :beaming_face_with_smiling_eyes::hugging_face:
-0:04:00,Anish Patel,Hi from Essex
-0:03:00,Jon Carter,Bon Soir!
-0:03:00,Alex Monk,hi from Leeds
-0:03:00,Keegan Stratford,Hi from South Africa!
-0:02:00,Jack Chong,1min
-0:01:00,Matthew Smallbones,Sup folks
0:00,John Maniquis,Let's go I'm very sleepy lol
0:01,Hadi,hii
0:02,Rae Anne Anonuevo,Hi from the Philippines!!!!
0:02,Chris Imbert,Morning from Denver
0:02,slytown,I wish Michigan water was amazing. We got that Flint water.
0:03,Star Jang,Hello from S.Korea
0:03,KarToon,Bello
0:03,inesimsim,"hello from Vancouver, Canada!!"
0:03,JamstaUK,Good Afternoon all!
0:05,Chris Smith,"Hi from Sheffield, UK! Kelham Island ^^"
0:05,Victor Wong,hey from Hong Kong
0:06,Glaciersfordays,did not get the third wave packet
0:06,賢進ジェンナ,Guessing this is just about to start?
0:06,Aidan Reidel,LETS RIDE
0:06,tim hewitt,Hi from Luton
0:07,Jonas Schjærven Holland,Anyone using a wilfa uniform grinder? Share settings :D
0:07,Brandon Whitt,Hi from Hamburg Germany!
0:08,droidtigger,"Sydney, Australia, checking in!"
0:08,Daenara M,SQUEEE!
0:08,TimeBanditRP,James looks so reluctant in this photo...
0:09,Simon McKenna,here we go!!
0:09,Glenn Karlsen,whoho! :grinning_face:
0:09,Francesca B.,mic iva mi ci va
0:10,Jason Porter,Did James just become the worlds largest bag dealer?
0:10,Coponet Olivier,too bad I have a cold and can't appreciate any drinks now :/
0:10,Francesca B.,mi ci va
0:11,Hyewon Han,안녕하세요!
0:11,Kávékalmár,Hey from Szentendre=Hungary
0:13,Ryan McCoy,Hello from Albuquerque NM!
0:13,MK7GTI guy,Hello from Oklahoma City USA!
0:13,Kaspar Scheller,HI From Switzerland
0:14,Kyle Robson,E smells like sugar puffs
0:14,Kristian Salo,Hi from Finland
0:15,David Lerman,Hello from New York City!
0:15,Johannes Laudi,DANG IT I CANT DONATE FOR THE SLURP!!!! SUPER CHAT IS NOT AVAILABLE IN MY COUNTRY
0:15,PrimeSonicYT,ground and ready
0:15,Kenamot,Ayup from Derby!
0:15,Aidan Reidel,WoooO!
0:15,Stefano Reboli,Ready in Milan
